heter	heter
kommer	kommer
är	är
talar	talar
förstår	förstår
vill	vill
läser	läsa
läser	läsa
är	är
ska	ska
pratar	prata
är	är
ligger	ligger
är	är
studerar	studerar
är	är
har	har
är	är
studerar	studerar
är	är
är	är
bor	bor
bor	bor
ligger	ligger
är	är
har	har
idrottar	idrottar
springer	springer
är	är
kan	kan
idrottar	idrotta
är	är
finns	finns
vill	vill
studerar	studera
är	är
tror	tror
läser	läser
Är	Är
kan	kan
läser	läsa
kommer	kommer
bor	bor
Är	Är
bor	bor
bor	bor
Ska	Ska
äter	äta
Är	Är
Vill	Vill
går	gå
kan	kan
ser	se
ska	ska
gå	gå
träffar	träffar
ska	ska
gå	gå
äta	äta
drickar	dricka
planerar	planerar
sitter	sitter
äter	äter
drickar	dricker
äter	äter
drickar	dricker
tar	tar
börjar	börjar
planerade	planerade
tar	tar
ligger	lägger
pratar	pratar
säger	säger
Titta	Titta
finns	finns
vill	vill
betala	betala
går	går
går	går
drickar	dricker
äter	äter
pratar	pratar
skratar	skrattar
tänker	tänker
säger	säger
Ska	Ska
gör	göra
säger	säger
tar	tar
ligger	lägger
säger	säger
vill	vill
betala	betala
finns	finns
går	går
är	är
lovar	lovar
repeterar	repetera
komde	kom
var	var
ringde	ringde
gick	gick
bor	bor
pratade	pratade
åked åkte
åt	åt
berättad	berättade
sovde	sov
var	var
duchade	duschade
gick	gick
hämta	hämta
komde	kom
är	är
har	har
pratade	pratade
var	var
åt	åt
hämtade	hämtade
komde	kom
komde	kom
var	var
somnade	somnade
var	var
träffade	träffade
började	började
är	är
finns	finns
är	är
väntar	väntar
ska	ska
börja	börja
sälja	sälja
pratar	pratar
kommer	kommer
ska	ska
öppna	öppna
är	är
är	är
kan	kan
hitta	hitta
Förlåt	Förlåt
har	har	
kan	kan
öppna	öppna
säger	säger
försök	försöker
öppna	öppna
kan	kan
tänker	tänker
ska	ska
göra	göra
måste	måste
tänka	tänka
vet	vet
säger	säger
måste	måste
kryper	krypa
är	är
ser	ser
kryper	kryper
säger	säger
Titta	Titta
vill	vill
ser	ser
ska	ska
göra	göra
titta	tittar
är	är
måste	måste
titta	titta
skratta	skratta
är	är
köpper	köper
säger	säger
var	var
var	var
är	är
ska	ska
åka	åka
börjar	börjar
åker	åker
stoppar	stoppar
är	är
pratar	pratar
ska	ska
se	se
är	är
kan	kan
kan	kan
dela	dela
är	är
är	är
finns	finns
se	se
är	är
har	har
måste	måste
åker	åka
finns	finns
se	se
har	har
är	är
är	är
finns	finns
går	åker
går	åker
frågar	frågar
åker	åker
är	är
hyr	hyr
stannar	stannar
kan	kan
gå	gå
svimmar	simmar
måste	måste
komma	komma
åker	åker
träffar	träffar
bor	bor
stannar	stannar
är	är
finns	finns
åker	åker
stannar	stannar
är	är
har	jar
måste	måste
åker	åka
träffar	träffar
stannar	stannar
går	går
är	är
går	går
är	är
är	är
är	är
äter	äter
handlar	handlar
går	går
kan	kan
använda	använda
träffar	träffar
bor	bor
pratar	pratar
kan	kan
förstår	förstå
är	är
måste	måste
gå	gå
kommer	kommer
var	var
studerar	studerar	
vet	vet
ligger	ligger
ska	ska
fortsätta	fortsätta
måsta	måste
läser	läsa
har	har
kan	kan
tillbringa	tillbringa
gå	går
kan	kan
använda	använda
är	är
läsa	läsa
är	är
concentrera	koncentrerar
behöver	behöver
finns	finns
är	är
är	är
finns	finns
finns	finns
är	är
träffa	träffa
titta	titta
kan	kan
titta	titta
kan	kan
göra	göra
spelar	spelar
är	är
använda	använda
finns	finns
visar	visar
ligger	ligger
har	har
är	är
börjar	börjar
ser	se
kommer	kommer
är	är
tycker	tycker
studera	studera
tycker	tycker
drömmer	drömmer
är	är
glömde	glömde
är	är
är	är
läste	läste
läste	läste
hade	hade
vilde	ville
läsa	läsa
läste	läste
tog	tog
skulle	skulle
läsa	läsa
fick	fick
sa	sa
var	blivit
var	var
är	är
skrev	skrev
tror	tror
var	var
kan	kan
blev	blev
var	var
hittade	hittade
började	började
läsa	läsa
blev	blev
väljade	valde
skulle	skulle
komma	komma
tänkte	tänkte
var	var
läser	läsa
hade	hade
kom	kom
vet	vet
är	är
är	är
är	är
kunna	kunna
får	får
vill	vill
lära	lära
använda	använda
hjälpa	hjälpa
är	är
vill	vill
göra	göra
hjälpa	hjälpa
behöver	behöver
tror	tror
göra	göra
få	få
hade	hade
hade	hade
hoppas	hoppas
kan	kan
använda	använda
hjälpa	hjälpa
skrev	skrev
glömde	glömde
berätta	berätta
hände	hände
skulle	skulle
träffa	träffa
skulle	skulle
gå	gå
tog	tog
tog	tog
jag	jag
ville	ville
imponera	imponera
stiggde - steg
var	var
kunde	kunde
sitta	sitta
var	var
läste	läste
såg	såg
började	började
titta	titta
vet	vet
är	är
var	var
log	log
tyckte	tyckte
var	var
började	började
vissla	vissla
skratta	skratta
gör	göra
imponera	imponera
blev	blev
var	var
