acceptera accepterar accepterade accepterat
agera agerar agerade agerat
akta aktar aktade aktat
amma ammar ammade ammat
anda andar andade andat
ange anger angav angett
anhålla anhåller anhöll anhållit
anlägga anlägger anlade anlagt
anlända anländer anlände anlänt
anordna anordnar anordnade anordnat
anpassa anpassar anpassade anpassat
anse anser ansåg ansett
anstränga anstränger ansträngde ansträngt
anställa anställer anställde anställt
ansöka ansöker ansökte ansökt
anteckna antecknar antecknade antecknat
använda använder anlände använt
arbeta arbetar arbetade arbetat
arrestera arresterar arresterade arresterat
aska askar askade askat
avgöra avgör avgjorde avgjort
avslöja avslöjar avslöjade avslöjat
avveckla avvecklar avvecklade avvecklat
backa backar backade backat
bada badar badade badat
baka bakar bakade bakat
balansera balanserar balanserade balanserat
basera baserar baserade baserat
be ber bad bett
bearbeta bearbetar bearbetade bearbetat
bedriva bedriver bedrev bedrivit
befolka befolkar befolkade befolkat
begrava begraver begravde begravt
begripa begriper begrep begripit
begå begår begick begått
begära begär begärde begärt
behandla behandlar behandlade behandlat
behålla behåller behöll behållt
behöva behöver behövde behövt
bero beror berodde berott
beräkna beräknar beräknade beräknat
berätta berättar berättade berättat
beröra berör berörde berört
beskära beskär beskar beskurit
besluta beslutar beslöt beslutat
bestå består bestod bestått
beställa beställer beställde beställt
bestämma bestämmer bestämde bestämt
besöka besöker besökte besökt
betala betalar betalade betalat
betrakta betraktar betraktade betraktat
beträffa beträffar beträffade beträffat
betyda betyder betydde betytt
beundra beundrar beundrade beundrat
bevara bevarar bevarade bevarat
bifoga bifogar bifogade bifogat
bita biter bet bitit
blanda blandar blandade blandat
blekna bleknar bleknade bleknat
bli blir blev blivit
blinka blinkar blinkade blinkat
blunda blundar blundade blundat
blåsa blåser blåste blåst
bläddra bläddrar bläddrade bläddrat
bo bor bodde bott
boka bokar bokade bokat
borra borrar borrade borrat
borsta borstar borstade borstat
bota botar botade botat
boxa boxar boxade boxat
brinna brinner brann brunnit
brista brister brast brustit
brodera broderar broderade broderat
bromsa bromsar bromsade bromsat
* brotta brottar brottade brottat
brottas brottas brottades brottats
bruka brukar brukade brukat
bry bryr brydde brytt
bryta bryter bröt brutit
bränna bränner brände bränt
bua buar buade buat
bullra bullrar bullrade bullrat
busa busar busade busat
bygga bygger byggde byggt
byta byter bytte bytt
bädda bäddar bäddade bäddat
böja böjer böjde böjt
bölja böljar böljade böljat
böra bör borde bort
börja börjar började börjat
campa campar campade campat
centralisera centraliserar centraliserade centraliserat
cirkulera cirkulerar cirkulerade cirkulerat
cykla cyklar cyklade cyklat
damma dammar dammade dammat
dammsuga dammsuger dammsög dammsugit
dansa dansar dansade dansat
darra darrar darrade darrat
decentralisera decentraliserar decentraliserade decentraliserat
deklarera deklarerar deklarerade deklarerat
dela delar delade delat
demonstrera demonstrerar demonstrerade demonstrerat
diska diskar diskade diskat
diskutera diskuterar diskuterade diskuterat
dokumentera dokumenterar dokumenterade dokumenterat
donera donerar donerade donerat
dra drar drog dragit
dreja drejar drejade drejat
dricka dricker drack druckit
driva driver drev drivit
droppa droppar droppade droppat
duga duger dög dugit
duka dukar dukade dukat
duscha duschar duschade duschat
dyka dyker dök dykit
dö dör dog dött
dölja döljer döljde döljt
döma dömer dömde dömt
elda eldar eldade eldat
erfara erfar erfor erfarit
erkänna erkänner erkände erkänt
ersätta ersätter ersatte ersatt
falla faller föll fallit
fasta fastar fastade fastat
fatta fattar fattade fattat
festa festar festade festat
filma filmade filmat
fimpa fimpar fimpade fimpat
finna finner fann funnit
fira firar firade firat
fiska fiskar fiskade fiskat
fixa fixar fixade fixat
flagga flaggar flaggade flaggat
fly flyr flydde flytt
flyga flyger flög flugit
flyta flyter flöt flutit
flytta flyttar flyttade flyttat
fläta flätar flätade flätat
fokusera fokuserar fokuserade fokuserat
fortsätta fortsätter fortsatte fortsatt
fotografera fotograferar fotograferade fotograferat
framstå framstår framstod framstått
frankera frankerade frankerat
fria friar friade friat
frikänna frikänner frikände frikänt
fråga frågar frågade frågat
fräta fräter frätte frätt
fundera funderar funderade funderat
fungera fungerar fungerade fungerat
fuska fuskar fuskade fuskat
fylla fyller fyllde fyllt
få får fick fått
fånga fångar fångade fångat
fäkta fäktar fäktade fäktat
fälla fäller fällde fällt
följa följer följde följt
föra för förde fört
förbereda förbereder förberedde förberett
förbjuda förbjuder förbjöd förbjudit
förbli förblir förblev förblivit
förbättra förbättrar förbättrade förbättrat
förekomma förekommer förekom förekommit
föreläsa föreläser föreläste föreläst
föreslå föreslår föreslog föreslagit
föreställa föreställer föreställde föreställt
förfölja förföljer förföljde förföljt
förklara förklarar förklarade förklarat
förlora förlorar förlorade förlorat
förlåta förlåter förlät förlåtit
förneka förnekar förnekade förnekat
förse förser försåg försett
försova försovar försov försovit
förstå förstår förstod förstått
försvara försvarar försvarade försvarat
försäkra försäkrar försäkrade försäkrat
försämra försämrar försämrade försämrat
försöka försöker försökte försökt
försörja försörjer försörjde försörjt
förtala förtalar förtalade förtalat
förvalta förvaltar förvaltade förvaltat
förvanska förvanskar förvanskade förvanskat
förvirra förvirrar förvirrade förvirrat
förändra förändrar förändrade förändrat
gapa gapar gapade gapat
ge ger gav gett
genomföra genomför genomförde genomfört
genomsöka genomsöker genomsökte genomsökt
gilla gillar gillade gillat
gissa gissar gissade gissat
glädja gläder gladde glatt
glänsa glänser glänste glänst
glömma glömmer glömde glömt
gnida gnider gned gnidit
gnissla gnisslar gnisslade gnisslat
gnugga gnuggar gnuggade gnuggat
granska granskar granskade granskat
gratulera gratulerar gratulerade gratulerat
grilla grillar grillade grillat
gripa griper grep gripit
grunda grundar grundade grundat
grädda gräddar gräddade gräddat
gräva gräver grävde grävt
gunga gungar gungade gungat
gå går gick gått
gälla gäller gällde gällt
gäspa gäspar gäspade gäspat
gödsla gödslar gödslade gödslat
gömma gömmer gömde gömt
göra gör gjorde gjort
ha har hade haft
hacka hackar hackade hackat
halka halkar halkade halkat
hamna hamnar hamnade hamnat
hamra hamrar hamrade hamrat
handla handlar handlade handlat
handskas handskas handaskades handskats
* handska handskar handaskade handskat
hata hatar hatade hatat
heja hejar hejade hejat
heta heter hette hetat
hicka hickar hickade hickat
hindra hindrar hindrade hindrat
hinna hinner hann hunnit
hjälpa hjälper hjälpte hjälpt
hoppas hoppas hoppades hoppats
hosta hostar hostade hostat
hyvla hyvlar hyvlade hyvlat
hålla håller höll hållit
håna hånar hånade hånat
häcka häckar häckade häckat
häfta häftar häftade häftat
häkta häktar häktade häktat
hälla hällar hällde hällt
hälsa hälsar hälsade hälsat
hämta hämtar hämtade hämtat
hända händer hände hänt
hänga hänger hängde hängt
häva häver hävde hävt
hävda hävdar hävdade hävdat
höra hör hörde hört
ingå ingår ingick ingått
inse inser insåg insett
intressera intresserar intresserade intresserat
invadera invaderar invaderade invaderat
irritera irriterar irriterade irriterat
jobba jobbar jobbade jobbat
jogga joggar joggade joggat
justera justerar justerade justerat
jämföra jämför jämförde jämfört
jämna jämnar jämnade jämnat 
jämra jämrar jämrade jämrat
jämställa jämställer jämställde jämställt
kamma kammar kammade kammat
kasta kastar kastade kastat
kela kelar kelade kelat
kladda kladdar kladdade kladdat
klaga klagar klagade klagat
klamra klamrar klamrade klamrat
klara klarar klarade klarat
klassificera klassificerar klassificerade klassificerat
klippa klipper klippte klippt
klä klär klädde klätt
kläda kläder klädde klätt
klämma klämmer klämde klämt
knyta knyter knöt knutit
koka kokar kokade kokat
kolla kollar kollade kollat
kolonisera koloniserar koloniserade koloniserat
kombinera kombinerar kombinerade kombinerat 
komma kommer kom kommit
